trace,total unique,unique read,unique read ratio,unique written,unique written ratio
casa,1207969,363073,1.4,858419,98.6
ikki,7324600,3150648,15.1,4312384,84.9
proj_0,4078856,3441824,22.6,861504,77.4
prxy_1,581128,227744,65.4,436520,34.6
src1_2,3362152,2405688,16.3,1319568,83.7
syn1,100001,0,0.0,100001,100.0
syn2,100001,0,0.0,100001,100.0
